row ID,row m/z,row retention time,X072067ALC.dataCompass.mzXML Peak area,X072069ALC.dataCompass.mzXML Peak area,X072068ALC.dataCompass.mzXML Peak area,
391,971.4407658035899,14.102916666666667,113.97749999999718,265.5595000000029,1017950.4579999951,
303,415.1736846334795,9.556866666666668,0,419.61549999999136,1762750.7360000026,
470,423.1780719559352,14.014333333333333,0,1375.2419999999056,718204.1200000009,
410,480.22255057040275,9.895083333333334,361.13899999999995,0,902163.9654999898,
405,311.1631588143362,8.53885,537.6470000000159,12591.31199999994,920437.4185000006,
393,313.17881156553364,12.832066666666668,345.0515000000174,215287.8615000005,1224177.637000004,
308,497.214674347779,11.92438888888889,120.4854999999996,825.9069999999995,1510644.0794999802,
123,435.325571141391,13.672158333333332,0,952911.8560000075,10860.873499999985,
373,386.28496545222936,14.667358333333333,0,10835.096500000065,1115396.3829999936,
365,395.18250302056236,15.196158333333333,0,1671.7299999999786,1151968.3280000086,
388,391.2100718307106,11.723361111111112,1874.93099999999,946961.5245000023,969779.4009999973,
545,671.3213273754781,15.673055555555555,276.59550000000417,305.144000000013,466429.169,
423,649.4255297026968,18.61985,0,0,848654.7789999971,
584,647.3403451839707,17.430216666666666,288.25299999999413,3249.3279999997767,257799.76699999825,
434,822.4873355568458,18.066875000000003,571.3379999999944,0,743784.0774999909,
358,317.2111080763052,10.780905555555556,3652.861999999873,103963.07000000005,1430447.1605000077,
497,463.3462906750374,17.46099166666667,0,16081.809999998895,376321.8720000002,
284,747.335372637597,12.585408333333334,24.898000000001502,0,3392828.251000001,
572,865.3894931586093,17.305783333333334,242.42999999998688,2982.719000000028,248945.47750000205,
441,1265.602212125035,13.5358,259.7439999999975,112.62699999999631,602276.0920000068,
210,555.355939391083,17.789594444444447,1115.0410000000388,395451.5569999972,16920.019999999673,
377,345.16929560856414,8.428211111111112,1372.9484999999804,32370.73300000037,1221597.566500004,
33,381.2998275525199,17.18821111111111,281195.76149999606,1600174.5964999804,285663.0804999972,
379,529.2047753690384,10.052783333333332,156.43949999998796,2372.4765000000793,1006425.3845000076,
427,908.4771125457077,16.635244444444442,1092.5339999999987,415.4489999999492,638817.8560000159,
415,301.2160199344138,11.538833333333335,12578.326500000041,270787.59199999995,910665.4830000052,
322,755.4069813047927,17.792658333333335,0,3039.8110000000524,1802484.3225000002,
416,367.1527997990493,8.397977777777777,187.00850000001878,4842.036500000108,882959.4885000035,
412,425.15703135490486,10.274833333333333,0,0,1091214.5664999976,
291,878.4320940854545,12.676941666666668,0,1316.7739999999626,2419004.8699999996,
97,451.3205410635501,10.70735,0,989598.4360000053,48217.910000000054,
217,332.2998269605993,17.333433333333335,67624.35850000224,459756.45650000544,256134.31499999703,
222,369.24051488731936,15.476141666666667,0,530936.8339999955,232597.7370000019,
