row ID,row m/z,row retention time,X072067ALC.dataCompass.mzXML Peak area,X072069ALC.dataCompass.mzXML Peak area,X072068ALC.dataCompass.mzXML Peak area,
64,387.25079345703125,15.556016666666666,0,2051576.4270000071,0,
65,401.23004150390625,14.954749999999999,0,2117883.183500006,0,
66,377.232666015625,10.372533333333333,0,2041361.0014999984,0,
67,438.28515625,13.005650000000001,0,2098619.187000005,0,
68,395.2430877685547,11.968916666666667,0,2179336.493500002,0,
69,471.34698486328125,13.295933333333332,0,2000290.318499995,0,
70,413.2607421875,17.753466666666668,0,1400521.946999997,0,
71,391.2093811035156,9.191849999999999,0,1798266.740499994,0,
72,431.20416259765625,10.8288,0,1729794.1314999864,0,
73,779.47021484375,13.5862,0,1260419.9230000044,0,
74,811.46044921875,13.627683333333332,0,1646913.637499998,0,
75,619.3757934570312,15.700999999999999,0,1206684.9499999918,0,
76,403.2452697753906,14.954749999999999,0,1742054.4415000046,0,
77,457.3037414550781,18.93521666666667,0,1674980.75700001,0,
78,453.2483825683594,11.616483333333333,0,1619497.128999998,0,
79,477.24598693847656,11.906716666666666,0,1233227.7964999997,0,
80,393.2926025390625,17.753466666666668,0,1435688.7790000003,0,
81,377.26654052734375,15.452516666666666,0,1577041.2359999893,0,
82,419.24037170410156,11.823833333333333,0,1516020.2499999984,0,
83,385.2354278564453,15.1414,0,1765748.334999999,0,
84,435.2375183105469,12.28,0,1462990.6409999907,0,
85,415.20928955078125,10.60075,0,1402113.5230000035,0,
86,375.2164611816406,9.89585,0,1366009.989499998,0,
87,447.3349304199219,19.266916666666667,0,1465034.0695000049,0,
88,731.4193115234375,17.255883333333333,0,1209884.5954999924,0,
89,475.230224609375,12.093333333333334,0,1282345.6150000002,0,
90,359.2222900390625,10.372533333333333,0,1577411.4520000014,0,
91,629.3939208984375,17.484016666666665,0,1114590.2654999732,0,
92,326.2437744140625,17.712016666666667,0,1610813.2274999903,0,
93,233.15341186523438,13.5862,0,1828271.5694999974,0,
94,221.15350341796875,13.648416666666666,0,1851938.9745000012,0,
95,353.2685241699219,16.136233333333333,0,1644702.0069999988,0,
96,453.18853759765625,12.67385,0,1290039.7525000058,0,
97,230.24800872802734,9.888383333333334,0,1476966.5769999938,863601.4639999964,
98,310.3145294189453,17.346925,0,1224683.6325000124,1773883.0310000048,
99,403.2455749511719,14.457166666666666,0,1419236.5484999998,0,
100,457.2194519042969,14.167,0,1378373.8934999984,0,
101,282.2801818847656,16.219166666666666,0,484765.0344999735,0,
102,279.23211669921875,13.047149999999998,0,1679533.2480000036,0,
103,454.2610778808594,11.305516666666668,0,1259372.0820000055,0,
104,323.19798278808594,16.820516666666666,0,1031253.4149999791,0,
105,309.1698913574219,10.372533333333333,0,1454484.3280000018,0,
106,301.2162780761719,13.275183333333333,0,1615474.0369999933,0,
107,393.22735595703125,10.60075,0,1272037.3365000035,0,
108,319.16709899902344,14.042616666666667,0,1461000.879500002,0,
109,453.3360595703125,13.295933333333332,0,1392157.5714999973,0,
110,303.23182678222656,13.856,0,1585383.3060000034,0,
111,324.2019958496094,16.07405,0,1457089.8950000044,0,
112,471.3468933105469,13.66915,0,1257209.5555000098,0,
113,333.2060546875,9.191849999999999,0,1409239.5954999954,0,
114,317.21148681640625,14.623,0,1656427.9419999996,0,
115,345.2400360107422,14.084066666666667,0,1585630.3800000052,0,
116,163.0390625,4.343216666666667,0,1019482.7194999993,0,
117,297.18487548828125,14.042616666666667,0,1394267.5165000022,0,
